DateTime,SP_Q,SP_V,ADCP_Q,ADCP_V,ADCP_H
2016-09-22T07:10,-0.67325,0.05975,-1.420831532,13.17575687,1.349053534
2016-09-22T07:20,-0.60925,0.0585,-1.706593599,12.25582765,1.258225393
2016-09-22T07:30,-0.5946,0.0658,-1.43963369,11.39702208,1.170532806
2016-09-22T07:40,-0.4498,0.0568,-1.108079561,10.53782881,1.081012893
2016-09-22T07:50,-0.48025,0.06875,-1.167866997,9.676213667,0.9905325208
2016-09-22T08:00,-0.462,0.073,-0.9792178851,8.869720051,0.905994381
2016-09-22T08:10,-0.27425,0.05,-0.9799079983,8.067347449,0.8224555062
2016-09-22T08:20,-0.393,0.07425,-0.6226088029,7.24953354,0.7379231282
2016-09-22T08:30,-0.3014,0.0654,-0.6700331795,6.438724717,0.6543845255
2016-09-22T08:40,-0.282666667,0.07133,-0.8381569152,5.670136578,0.5748240844
2016-09-22T08:50,-0.1325,0.0245,-0.4657278336,4.90386386,0.4942691674
2016-09-22T09:00,-0.168666667,0.06867,-0.5084485089,4.195407742,0.4176922503
2016-09-22T09:10,-0.14825,0.064,-0.4047056411,3.532231396,0.3431043481
2016-09-22T09:20,-0.1505,0.0705,0,2.918388759,0
2016-09-22T09:30,-0.0408,0.0238,0,2.362089489,0
2016-09-22T09:40,-0.074666667,0.04767,0,1.887654748,0
2016-09-22T09:50,-0.05675,0.05025,0,1.454637037,0
2016-09-22T13:50,0.20375,-0.0888,1.064413036,7.76798063,0.7914502486
2016-09-22T14:00,0.216,-0.091,1.277860781,9.13585653,0.9338405311
2016-09-22T14:10,0.286,-0.087,1.548696599,10.614037,1.088996906
2016-09-22T14:20,0.3965,-0.0953,1.886279222,12.12592694,1.245118001
2016-09-22T14:30,0.6086,-0.1084,1.911650959,13.75526119,1.404241565
2016-09-22T14:40,0.615,-0.0973,2.151100501,15.44487177,1.555376588
2016-09-22T14:50,0.7845,-0.0995,2.492524731,17.222244,1.699693615
2016-09-22T15:00,0.94975,-0.0995,2.788349939,19.10381231,1.839834912
2016-09-22T15:10,1.0135,-0.0878,2.855092147,20.84766219,1.962127113
2016-09-22T15:20,1.27025,-0.095,4.161473152,22.71870123,2.089329546
2016-09-22T15:30,1.512,-0.1008,3.320900587,24.33370465,2.198851346
2016-09-22T15:40,1.64625,-0.1035,3.992978952,25.60805163,2.286858055
2016-09-22T15:50,1.723,-0.0963,4.805053986,26.70602784,2.364757625
2016-09-22T16:00,2.001,-0.1038,5.395549059,27.62185338,2.4315656
2016-09-22T16:10,1.9535,-0.0968,6.541549853,28.35575361,2.48627783
2016-09-22T16:20,1.957,-0.0943,6.941299493,28.89575023,2.527032918
